"時点","地域コード","地域","日本人人口（総数）【人】","注記"
"1980年","46000","鹿児島県","1783351",""
"1981年","46000","鹿児島県","1793000",""
"1982年","46000","鹿児島県","1800000",""
"1983年","46000","鹿児島県","1805000",""
"1984年","46000","鹿児島県","1812000",""
"1985年","46000","鹿児島県","1817746",""
"1986年","46000","鹿児島県","1815000",""
"1987年","46000","鹿児島県","1814000",""
"1988年","46000","鹿児島県","1810000",""
"1989年","46000","鹿児島県","1804000",""
"1990年","46000","鹿児島県","1794217",""
"1991年","46000","鹿児島県","1790000",""
"1992年","46000","鹿児島県","1786000",""
"1993年","46000","鹿児島県","1786000",""
"1994年","46000","鹿児島県","1788000",""
"1995年","46000","鹿児島県","1791419",""
"1996年","46000","鹿児島県","1791000",""
"1997年","46000","鹿児島県","1790000",""
"1998年","46000","鹿児島県","1788000",""
"1999年","46000","鹿児島県","1785000",""
"2000年","46000","鹿児島県","1781732",""
"2001年","46000","鹿児島県","1778000",""
"2002年","46000","鹿児島県","1772000",""
"2003年","46000","鹿児島県","1766000",""
"2004年","46000","鹿児島県","1758000",""
"2005年","46000","鹿児島県","1747898",""
"2006年","46000","鹿児島県","1739000",""
"2007年","46000","鹿児島県","1728000",""
"2008年","46000","鹿児島県","1716000",""
"2009年","46000","鹿児島県","1707000",""
"2010年","46000","鹿児島県","1693314",""
"2011年","46000","鹿児島県","1692000",""
"2012年","46000","鹿児島県","1681000",""
"2013年","46000","鹿児島県","1670000",""
"2014年","46000","鹿児島県","1656000",""
"2015年","46000","鹿児島県","1631662",""
"2016年","46000","鹿児島県","1631000",""
"2017年","46000","鹿児島県","1618000",""
"2018年","46000","鹿児島県","1606000",""
"2019年","46000","鹿児島県","1591000",""
"2020年","46000","鹿児島県","1545763",""
"2021年","46000","鹿児島県","1565000",""
"2022年","46000","鹿児島県","1550000",""
"1975年","47000","沖縄県","1036288",""
"1976年","47000","沖縄県","1053000",""
"1977年","47000","沖縄県","1066000",""
"1978年","47000","沖縄県","1076000",""
"1979年","47000","沖縄県","1089000",""
"1980年","47000","沖縄県","1101062",""
"1981年","47000","沖縄県","1114000",""
"1982年","47000","沖縄県","1127000",""
"1983年","47000","沖縄県","1141000",""
"1984年","47000","沖縄県","1157000",""
"1985年","47000","沖縄県","1174261",""
"1986年","47000","沖縄県","1186000",""
"1987年","47000","沖縄県","1196000",""
"1988年","47000","沖縄県","1204000",""
"1989年","47000","沖縄県","1211000",""
"1990年","47000","沖縄県","1209312",""
"1991年","47000","沖縄県","1225000",""
"1992年","47000","沖縄県","1233000",""
"1993年","47000","沖縄県","1243000",""
"1994年","47000","沖縄県","1256000",""
"1995年","47000","沖縄県","1265783",""
"1996年","47000","沖縄県","1276000",""
"1997年","47000","沖縄県","1283000",""
"1998年","47000","沖縄県","1292000",""
"1999年","47000","沖縄県","1301000",""
"2000年","47000","沖縄県","1301973",""
"2001年","47000","沖縄県","1320000",""
"2002年","47000","沖縄県","1329000",""
"2003年","47000","沖縄県","1338000",""
"2004年","47000","沖縄県","1347000",""
"2005年","47000","沖縄県","1354249",""
"2006年","47000","沖縄県","1362000",""
"2007年","47000","沖縄県","1367000",""
"2008年","47000","沖縄県","1370000",""
"2009年","47000","沖縄県","1377000",""
"2010年","47000","沖縄県","1377248",""
"2011年","47000","沖縄県","1395000",""
"2012年","47000","沖縄県","1403000",""
"2013年","47000","沖縄県","1410000",""
"2014年","47000","沖縄県","1416000",""
"2015年","47000","沖縄県","1410487",""
"2016年","47000","沖縄県","1429000",""
"2017年","47000","沖縄県","1434000",""
"2018年","47000","沖縄県","1438000",""
"2019年","47000","沖縄県","1442000",""
"2020年","47000","沖縄県","1424749",""
"2021年","47000","沖縄県","1449000",""
"2022年","47000","沖縄県","1446000",""
